Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"3","'008","Albania","6813","Total Energy","72184","Energy use in agriculture","TJ","7409.856100","E","4310.174400","E","3385.281600","E","2315.130800","E","1467.882200","E","3844.750000","E","3876.111700","E","2686.644400","E","3297.226600","E","4773.469300","E","4569.465500","E","4656.779100","E","5339.933900","E","2324.597600","E","5443.415300","E","4092.466300","E","6660.041400","E","4001.105800","E","4072.521400","E","3655.452800","E","4363.830000","E","5314.281900","E","4182.023500","E","4494.925700","E","5577.838500","E","4224.466800","E","4531.742100","E","5409.057800","E","4856.352000","E","5085.556800","E","4908.865800","E","4600.191200","E","4600.191200","I"
"3","'008","Albania","6813","Total Energy","7273","Emissions (CO2)","kt","512.660600","E","268.037900","E","223.432100","E","141.093900","E","102.169000","E","295.392000","E","295.539700","E","202.770500","E","260.455600","E","333.868000","E","319.654000","E","332.359800","E","374.366400","E","158.869900","E","419.166500","E","306.281800","E","506.386500","E","303.332200","E","287.741900","E","252.080900","E","315.740800","E","387.167400","E","286.749300","E","300.914100","E","388.368600","E","296.414600","E","326.543500","E","402.907700","E","333.268500","E","355.371100","E","337.255700","E","302.715900","E","302.715900","I"
"3","'008","Albania","6813","Total Energy","7225","Emissions (CH4)","kt","0.060900","E","0.036300","E","0.032700","E","0.019400","E","0.020400","E","0.045900","E","0.046600","E","0.035500","E","0.038200","E","0.038100","E","0.035900","E","0.034900","E","0.043600","E","0.029900","E","0.053100","E","0.041100","E","0.051500","E","0.039200","E","0.033900","E","0.027100","E","0.037500","E","0.042100","E","0.030500","E","0.032400","E","0.058700","E","0.032600","E","0.035300","E","0.042400","E","0.036600","E","0.038500","E","0.035900","E","0.038400","E","0.038400","I"
"3","'008","Albania","6813","Total Energy","7230","Emissions (N2O)","kt","0.041000","E","0.028400","E","0.017800","E","0.023600","E","0.024200","E","0.022400","E","0.020300","E","0.012500","E","0.032100","E","0.081100","E","0.080900","E","0.083400","E","0.083800","E","0.018300","E","0.085400","E","0.079800","E","0.153600","E","0.080900","E","0.067400","E","0.076800","E","0.072500","E","0.091000","E","0.080100","E","0.086600","E","0.091700","E","0.090400","E","0.093000","E","0.104800","E","0.103300","E","0.103400","E","0.098600","E","0.091800","E","0.091800","I"
"3","'008","Albania","6812","Total Energy (excl.eletricity & heat)","72184","Energy use in agriculture","TJ","6329.856100","E","3500.174400","E","3090.081600","E","1955.130800","E","1352.682200","E","3704.350000","E","3688.911700","E","2593.044400","E","3192.826600","E","4165.069300","E","3939.465500","E","4095.179100","E","4627.133900","E","1863.797600","E","5274.215300","E","4031.266300","E","6577.241400","E","3918.665800","E","3729.045400","E","3311.976800","E","3987.090000","E","4879.761900","E","3679.715500","E","3892.357700","E","4912.054500","E","3907.666800","E","4236.542100","E","5131.940600","E","4399.234800","E","4623.172800","E","4408.645800","E","4016.237700","E","4016.237700","I"
"3","'008","Albania","6812","Total Energy (excl.eletricity & heat)","7273","Emissions (CO2)","kt","467.570500","E","249.610300","E","219.192700","E","132.423900","E","99.081000","E","293.247000","E","293.797700","E","201.831900","E","259.310100","E","328.206500","E","310.169000","E","322.126200","E","360.783500","E","154.428300","E","417.756500","E","305.834700","E","505.790800","E","302.610900","E","284.736500","E","251.966400","E","315.521000","E","386.274200","E","285.716700","E","299.675500","E","387.000100","E","295.763400","E","325.936700","E","402.338100","E","332.328900","E","354.420700","E","336.227400","E","301.515500","E","301.515500","I"
"3","'008","Albania","6812","Total Energy (excl.eletricity & heat)","7225","Emissions (CH4)","kt","0.059800","E","0.035500","E","0.032400","E","0.019100","E","0.020200","E","0.045800","E","0.046400","E","0.035400","E","0.038100","E","0.037500","E","0.035300","E","0.034400","E","0.042900","E","0.029500","E","0.052900","E","0.041000","E","0.051400","E","0.039100","E","0.033600","E","0.026700","E","0.037200","E","0.041700","E","0.030000","E","0.031800","E","0.058000","E","0.032300","E","0.035100","E","0.042100","E","0.036200","E","0.038000","E","0.035400","E","0.037800","E","0.037800","I"
"3","'008","Albania","6812","Total Energy (excl.eletricity & heat)","7230","Emissions (N2O)","kt","0.040600","E","0.028200","E","0.017800","E","0.023500","E","0.024200","E","0.022400","E","0.020300","E","0.012500","E","0.032100","E","0.081000","E","0.080900","E","0.083300","E","0.083700","E","0.018200","E","0.085400","E","0.079800","E","0.153500","E","0.080900","E","0.067400","E","0.076800","E","0.072400","E","0.091000","E","0.080000","E","0.086500","E","0.091700","E","0.090400","E","0.093000","E","0.104800","E","0.103300","E","0.103400","E","0.098500","E","0.091700","E","0.091700","I"
"4","'012","Algeria","6801","Petroleum products","72184","Energy use in agriculture","TJ","652.719000","E","747.644700","E","787.833000","E","706.450100","E","643.214900","E","627.351200","E","615.380600","E","605.984300","E","665.262200","E","706.910700","E","919.011800","E","794.122600","E","884.185100","E","924.465200","E","961.816000","E","1149.650100","E","1120.865800","E","1203.368800","E","1261.086900","E","1444.800000","E","1320.100000","E","1358.800000","E","1100.800000","E","1195.400000","E","1285.700000","E","1371.700000","E","1302.900000","E","1307.200000","E","1539.400000","E","1586.700000","E","1598.654000","E","1598.654000","E","1598.654000","I"
"4","'012","Algeria","6801","Petroleum products","7273","Emissions (CO2)","kt","47.283800","E","52.857500","E","56.256700","E","49.915700","E","45.373500","E","44.311900","E","43.379700","E","42.647500","E","46.779500","E","49.723600","E","65.415400","E","56.173600","E","62.741100","E","65.774200","E","68.240800","E","82.365300","E","80.452300","E","86.565800","E","90.795900","E","103.937900","E","94.177300","E","97.565300","E","78.447500","E","84.416700","E","90.587700","E","96.960300","E","89.781000","E","89.579300","E","104.704100","E","107.688800","E","107.809700","E","107.809700","E","107.809700","I"
"4","'012","Algeria","6801","Petroleum products","7225","Emissions (CH4)","kt","0.002800","E","0.003300","E","0.003400","E","0.003100","E","0.002800","E","0.002800","E","0.002700","E","0.002700","E","0.003000","E","0.003100","E","0.004000","E","0.003500","E","0.003900","E","0.004000","E","0.004200","E","0.005000","E","0.004900","E","0.005200","E","0.005400","E","0.006200","E","0.005800","E","0.005900","E","0.004800","E","0.005300","E","0.005700","E","0.006100","E","0.005900","E","0.006000","E","0.007100","E","0.007300","E","0.007500","E","0.007500","E","0.007500","I"
"4","'012","Algeria","6801","Petroleum products","7230","Emissions (N2O)","kt","0.015900","E","0.014800","E","0.017000","E","0.013900","E","0.012500","E","0.012300","E","0.011800","E","0.011500","E","0.012500","E","0.013300","E","0.019300","E","0.015800","E","0.018100","E","0.019400","E","0.019700","E","0.025600","E","0.025300","E","0.027700","E","0.029200","E","0.033200","E","0.028300","E","0.030800","E","0.023400","E","0.023400","E","0.024600","E","0.027100","E","0.019700","E","0.018500","E","0.019800","E","0.019800","E","0.018100","E","0.018100","E","0.018100","I"
"4","'012","Algeria","6802","Natural gas","72184","Energy use in agriculture","TJ","355.752300","E","420.771100","E","444.640400","E","491.684300","E","492.529500","E","493.611200","E","519.690100","E","719.676000","E","742.180800","E","838.850200","E","686.341500","E","824.858100","E","886.711600","E","984.118500","E","733.348500","E","797.156600","E","965.728700","E","1049.715100","E","1021.727900","E","1091.000000","E","1285.000000","E","1361.000000","E","1385.000000","E","1511.000000","E","2345.000000","E","1842.000000","E","1873.008000","E","2068.000000","E","1483.000000","E","1521.819000","E","937.697000","E","937.697000","E","937.697000","I"
"4","'012","Algeria","6802","Natural gas","7273","Emissions (CO2)","kt","19.957700","E","23.605300","E","24.944300","E","27.583500","E","27.630900","E","27.691600","E","29.154600","E","40.373800","E","41.636300","E","47.059500","E","38.503800","E","46.274500","E","49.744500","E","55.209000","E","41.140900","E","44.720500","E","54.177400","E","58.889000","E","57.318900","E","61.205100","E","72.088500","E","76.352100","E","77.698500","E","84.767100","E","131.554500","E","103.336200","E","105.075700","E","116.014800","E","83.196300","E","85.374000","E","52.604800","E","52.604800","E","52.604800","I"
